date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:36	69/69	---MCZ	200	added ('OK')	text/plain	date:Fri,%2026%20Jul%202019%2009:23:35%20GMT	http://klbtheme.com/robots.txt		(from )
14:23:38	57806/57806	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202019%2009:23:36%20GMT	http://klbtheme.com/groci/	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/index.html	(from )
14:24:08	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2026%20Jul%202019%2009:23:38%20GMT	http://klbtheme.com/groci/xmlrpc.php	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/xmlrpc.php	(from http://klbtheme.com/groci/)
14:24:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Jul%202019%2009:24:10%20GMT	http://s.w.org/	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/s.w.org/index.html	(from http://klbtheme.com/groci/)
14:24:11	2271/2271	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20May%202019%2020:59:49%20GMT	http://klbtheme.com/groci/wp-content/plugins/login-with-ajax/widget/widget.css?ver=3.1.8.1	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/plugins/login-with-ajax/widget/widget0697.css	(from http://klbtheme.com/groci/)
14:24:11	8441/8441	---MC-	200	added ('OK')	application/rss+xml	etag:%223d067b6d3b3ebce24506c73517f37386%22	http://klbtheme.com/groci/comments/feed/	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/comments/feed/index.html	(from http://klbtheme.com/groci/)
14:24:11	21437/21437	---MC-	200	added ('OK')	application/rss+xml	etag:%2285f61e634a38d5458168614b3c4f4775%22	http://klbtheme.com/groci/feed/	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/feed/index.html	(from http://klbtheme.com/groci/)
14:24:11	29295/29295	---M-Z	200	added ('OK')	text/css	date:Fri,%2031%20May%202019%2021:01:23%20GMT	http://klbtheme.com/groci/wp-includes/css/dist/block-library/style.min.css?ver=5.2.2	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-includes/css/dist/block-library/style.minbb49.css	(from http://klbtheme.com/groci/)
14:24:13	6359/6359	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202019%2007:14:16%20GMT	http://klbtheme.com/groci/wp-content/plugins/woocommerce/assets/css/blocks/style.css?ver=3.6.5	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/plugins/woocommerce/assets/css/blocks/style3ab2.css	(from http://klbtheme.com/groci/)
14:24:14	1411/1411	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20May%202019%2020:59:48%20GMT	http://klbtheme.com/groci/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.3	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/plugins/contact-form-7/includes/css/stylesbdeb.css	(from http://klbtheme.com/groci/)
14:24:14	140930/140930	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:25:34%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/vendor/bootstrap/css/bootstrap.min.css?ver=1.0	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/themes/groci/vendor/bootstrap/css/bootstrap.min5152.css	(from http://klbtheme.com/groci/)
14:24:16	93420/93420	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:27:35%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/vendor/icons/css/materialdesignicons.min.css?ver=1.0	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/themes/groci/vendor/icons/css/materialdesignicons.min5152.css	(from http://klbtheme.com/groci/)
14:24:16	10570/10570	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:28:14%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/vendor/select2/css/select2-bootstrap.css?ver=1.0	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/themes/groci/vendor/select2/css/select2-bootstrap5152.css	(from http://klbtheme.com/groci/)
14:24:18	15298/15298	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202019%2007:14:16%20GMT	http://klbtheme.com/groci/wp-content/plugins/woocommerce/assets/css/select2.css?ver=3.6.5	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/plugins/woocommerce/assets/css/select23ab2.css	(from http://klbtheme.com/groci/)
14:24:19	26538/26538	---MCZ	200	added ('OK')	text/css	date:Tue,%2013%20Nov%202018%2007:57:55%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/css/stylem.css?ver=1.0	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/themes/groci/css/stylem5152.css	(from http://klbtheme.com/groci/)
14:24:20	1178/1178	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Aug%202018%2008:28:03%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/vendor/owl-carousel/owl.carousel.css?ver=1.0	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/themes/groci/vendor/owl-carousel/owl.carousel5152.css	(from http://klbtheme.com/groci/)
14:24:21	1711/1711	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2007:59:26%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/vendor/owl-carousel/owl.theme.css?ver=1.0	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/themes/groci/vendor/owl-carousel/owl.theme5152.css	(from http://klbtheme.com/groci/)
14:24:23	28909/28909	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202019%2008:08:36%20GMT	http://klbtheme.com/groci/wp-content/themes/groci/style.css?ver=5.2.2	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/themes/groci/stylebb49.css	(from http://klbtheme.com/groci/)
14:24:24	484857/484857	---M-Z	200	added ('OK')	text/css	date:Fri,%2031%20May%202019%2021:05:20%20GMT	http://klbtheme.com/groci/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.0.2	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/plugins/js_composer/assets/css/js_composer.min5b21.css	(from http://klbtheme.com/groci/)
14:24:25	96866/96866	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2031%20May%202019%2021:01:23%20GMT	http://klbtheme.com/groci/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-includes/js/jquery/jquery4a5f.js	(from http://klbtheme.com/groci/)
14:24:25	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2018%20Aug%202018%2006:53:40%20GMT	http://klbtheme.com/groci/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://klbtheme.com/groci/)
14:24:26	2636/2636	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Jul%202019%2009:24:21%20GMT	https://fonts.googleapis.com/css?family=Maven+Pro:400,500,700,900|Roboto+Condensed:300,300i,400,400i,700,700i&subset=latin,latin-ext	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/fonts.googleapis.com/css8b5b.css	(from http://klbtheme.com/groci/)
14:24:27	5099/5099	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2031%20May%202019%2020:59:49%20GMT	http://klbtheme.com/groci/wp-content/plugins/login-with-ajax/widget/login-with-ajax.js?ver=3.1.8.1	/home/x9sheikh/Desktop/FrontEnd(Farid)/abc4/klbtheme.com/groci/wp-content/plugins/login-with-ajax/widget/login-with-ajax0697.js	(from http://klbtheme.com/groci/)
